City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Taraz,KZ,42.9,71.3667,68.41,28,40,22.37,scattered clouds
194,Neka,IR,36.6508,53.299,61.65,74,0,4.9,clear sky
195,Kaeo,NZ,-35.1,173.7833,51.96,89,100,2.51,overcast clouds
196,Keetmanshoop,NA,-26.5833,18.1333,72.52,17,58,5.61,broken clouds
197,Acarau,BR,-2.8856,-40.12,78.98,84,12,18.45,few clouds
198,Sigli,ID,5.3848,95.9609,84.56,65,100,4.21,overcast clouds
199,Nizhneangarsk,RU,55.7833,109.55,38.71,53,78,3.94,broken clouds
200,Prachuap Khiri Khan,TH,12.2167,99.75,80.91,67,100,1.97,overcast clouds
201,Thompson,CA,55.7435,-97.8558,46.56,93,20,0.0,few clouds
202,San Jose,US,37.3394,-121.895,65.3,75,40,5.01,smoke
203,Mittersill,AT,47.2667,12.4833,60.13,96,100,1.01,overcast clouds
204,Norman Wells,CA,65.282,-126.8329,30.24,86,75,4.61,broken clouds
205,Hofn,IS,64.2539,-15.2082,42.51,61,92,9.86,overcast clouds
206,Buta,CD,2.7858,24.73,66.58,99,89,1.97,overcast clouds
207,Oranjemund,NA,-28.55,16.4333,58.03,89,89,10.07,overcast clouds
208,Bredasdorp,ZA,-34.5322,20.0403,56.52,88,39,1.14,scattered clouds
209,Nantucket,US,41.2835,-70.0995,66.09,62,1,10.36,clear sky
210,Raahe,FI,64.6833,24.4833,39.29,81,76,12.97,broken clouds
211,Saint-Louis,SN,16.3333,-15.0,83.07,59,89,10.09,overcast clouds
212,Mwinilunga,ZM,-11.7358,24.4293,67.03,37,81,0.67,broken clouds
213,Puerto Leguizamo,CO,-0.1934,-74.7819,75.9,73,43,0.98,scattered clouds
214,Yar-Sale,RU,66.8333,70.8333,34.43,80,2,6.49,clear sky
215,Catuday,PH,16.2923,119.8062,83.68,72,81,5.66,broken clouds
216,Torbay,CA,47.6666,-52.7314,54.88,95,75,12.66,broken clouds
217,Catalao,BR,-18.1658,-47.9464,69.3,59,14,7.27,few clouds
218,Sawakin,SD,19.1059,37.3321,84.06,56,33,3.44,scattered clouds
219,Weingarten,DE,47.8,9.6333,59.02,98,75,3.44,broken clouds
220,Georgetown,MY,5.4112,100.3354,84.88,77,20,0.0,few clouds
221,Shirokiy,RU,49.758,129.523,57.56,97,100,16.26,overcast clouds
222,Dhidhdhoo,MV,6.8833,73.1,79.83,78,100,19.77,light rain
223,Rabat,MA,33.9911,-6.8401,66.04,94,98,0.0,overcast clouds
224,Viedma,AR,-40.8135,-62.9967,40.37,58,4,10.22,clear sky
225,Isangel,VU,-19.55,169.2667,80.71,74,75,9.22,broken clouds
226,Chuy,UY,-33.6971,-53.4616,56.73,94,8,5.06,clear sky
227,Carutapera,BR,-1.195,-46.02,78.06,81,35,8.05,scattered clouds
228,Lodja,CD,-3.4833,23.4333,67.1,97,95,0.85,overcast clouds
229,Itaguai,BR,-22.8522,-43.7753,74.59,94,0,2.3,clear sky
230,Kutum,SD,14.2,24.6667,70.57,70,37,5.21,scattered clouds
231,Sioux Lookout,CA,50.1001,-91.917,53.98,71,1,4.61,clear sky
232,Severo-Kurilsk,RU,50.6789,156.125,52.29,82,88,13.06,overcast clouds
233,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,93,100,8.57,overcast clouds
234,College,US,64.8569,-147.8028,35.58,76,75,4.61,broken clouds
235,Kedrovyy,RU,56.1667,91.8167,36.01,66,20,5.32,few clouds
236,Mayumba,GA,-3.432,10.6554,74.98,89,100,0.76,overcast clouds
237,Vestmannaeyjar,IS,63.4427,-20.2734,42.3,74,98,19.93,overcast clouds
238,Puerto Penasco,MX,31.3167,-113.5333,84.9,57,19,5.99,few clouds
239,Warrington,GB,53.3925,-2.5802,65.86,91,100,1.99,light rain
240,Maniitsoq,GL,65.4167,-52.9,31.68,50,0,6.55,clear sky
241,Makat,KZ,47.6469,53.3463,58.1,67,79,19.35,broken clouds
242,Baghdad,IQ,33.3406,44.4009,69.71,43,0,13.8,clear sky
243,Provideniya,RU,64.3833,-173.3,39.31,60,0,4.47,clear sky
244,San Cristobal,VE,7.7669,-72.225,78.98,91,29,2.37,scattered clouds
245,Barra,BR,-11.0894,-43.1417,79.34,53,28,15.61,scattered clouds
246,Sarangani,PH,5.4033,125.4636,83.84,73,100,8.01,overcast clouds
247,Hervey Bay,AU,-25.2986,152.8535,74.01,58,93,20.89,overcast clouds
248,Doka,SD,13.5167,35.7667,68.85,91,4,2.98,clear sky
249,Sulangan,PH,11.1373,123.7228,83.3,75,100,7.85,overcast clouds
250,Shitanjing,CN,39.2342,106.3439,66.42,43,33,12.53,scattered clouds
251,Cidreira,BR,-30.1811,-50.2056,65.48,95,1,12.28,clear sky
252,Nemuro,JP,43.3236,145.575,64.83,75,0,14.05,clear sky
253,Steamboat Springs,US,40.485,-106.8317,65.79,38,1,0.0,clear sky
254,Hohhot,CN,40.8106,111.6522,59.29,72,20,2.24,few clouds
255,Sand Springs,US,36.1398,-96.1089,82.98,38,1,8.05,clear sky
256,Hualmay,PE,-11.0964,-77.6139,61.86,86,26,8.05,scattered clouds
257,Trinidad,BO,-14.8333,-64.9,84.81,37,11,3.98,few clouds
258,Aripuana,BR,-9.1667,-60.6333,75.07,85,83,3.13,broken clouds
259,Kyabe,TD,9.4515,18.9449,71.87,95,100,4.03,overcast clouds
260,Port-Cartier,CA,50.0334,-66.8654,55.62,98,100,7.4,overcast clouds
261,Muroto,JP,33.2833,134.15,78.84,81,97,20.27,overcast clouds
262,Montanha,BR,-18.1269,-40.3633,67.33,82,57,2.89,broken clouds
263,Fez,MA,34.0372,-4.9998,62.85,100,0,5.75,clear sky
264,Borodino,RU,55.9106,94.8983,38.62,67,80,4.29,broken clouds
265,San Patricio,US,28.017,-97.5169,80.46,65,99,9.62,overcast clouds
266,Kieta,PG,-6.2167,155.6333,83.91,73,80,4.72,light rain
267,Oranjestad,AW,12.524,-70.027,84.15,85,20,10.0,few clouds
268,Sergeyevka,KZ,53.88,67.4158,38.77,55,100,25.9,overcast clouds
269,Wukari,NG,7.85,9.7833,71.28,98,32,4.65,scattered clouds
270,Teshie,GH,5.5836,-0.1072,77.56,88,20,10.36,few clouds
271,Dickinson,US,29.4608,-95.0513,79.02,81,20,5.75,few clouds
272,Abu Kamal,SY,34.4506,40.9171,69.85,28,0,10.04,clear sky
273,Palmer,US,42.1584,-72.3287,57.18,83,1,0.0,clear sky
274,Honiara,SB,-9.4333,159.95,83.21,79,100,6.04,moderate rain
275,Nome,US,64.5011,-165.4064,37.47,75,75,8.05,broken clouds
276,Betsiamites,CA,48.9413,-68.646,55.49,90,89,11.45,overcast clouds
277,Santa Cruz,BO,-17.8,-63.1667,80.06,69,88,6.91,smoke
278,Bathsheba,BB,13.2167,-59.5167,79.41,83,75,14.97,broken clouds
279,Lasa,IT,46.6166,10.7002,59.88,95,85,3.94,overcast clouds
280,Komsomolskiy,UZ,40.4272,71.7189,70.52,30,0,4.61,clear sky
281,San Carlos,VE,9.6612,-68.5827,73.98,91,98,2.89,overcast clouds
282,Longhua,CN,23.6137,114.1919,92.7,55,3,1.36,clear sky
283,Port Blair,IN,11.6667,92.75,81.72,81,100,10.6,overcast clouds
284,Ancud,CL,-41.8697,-73.8203,38.73,82,59,4.0,broken clouds
285,Puri,IN,19.8,85.85,84.72,76,100,13.8,very heavy rain
286,Bilma,NE,18.6853,12.9164,79.47,20,4,8.79,clear sky
287,Mackenzie,CA,55.2999,-123.1698,55.62,88,75,3.44,broken clouds
288,Mouzouras,GR,35.5333,24.15,74.43,88,0,0.0,clear sky
289,Boende,CD,-0.2167,20.8667,69.75,97,100,1.99,overcast clouds
290,Harwich,GB,51.9419,1.2844,62.74,97,87,14.38,overcast clouds
291,Tiznit,MA,29.5833,-9.5,72.46,36,1,1.99,clear sky
292,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,57.79,44,20,4.47,few clouds
293,Turmalina,BR,-17.2856,-42.73,64.15,57,3,4.12,clear sky
294,Geraldton,AU,-28.7667,114.6,68.41,45,75,14.97,broken clouds
295,Pecos,US,31.4229,-103.4932,83.23,34,1,11.5,clear sky
296,Bollnas,SE,61.3482,16.3946,46.24,89,92,4.52,overcast clouds
297,Doctor Arroyo,MX,23.6667,-100.1833,66.34,72,20,6.55,few clouds
